nom_rest,cod_rest,latitud_rest,longitud_rest
CIUDAD CORDOBA,187,3.39671417,-76.50974468
PALMETTO PLAZA,45,3.419646,-76.539767
AV SEXTA,61,3.465173,-76.530913
SAN FERNANDO,158,3.434722,-76.541968
PASO ANCHO ,163,3.4126302,-76.5286968
JARDIN PLAZA,134,3.369237,-76.527519
CHIPICHAPE,60,3.476362,-76.527899
COSMOCENTRO,133,3.41587,-76.540117
ROOSEVELT,37,3.425126,-76.540525
TERMINAL CAL,149,3.465755,-76.521846
UNICENTRO CALI,27,3.373917,-76.53903
UNICO CALI,26,3.465128,-76.500496
CANEY,115,3.384993,-76.52411
